name,url,path,aliases,tags
1off,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/1off.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/1off.opus,"violin, 1offlethal",
2manycooks,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/2manycooks.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/2manycooks.opus,"cooks, 2many",
2much,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/2much.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/2much.opus,,
2phones,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/2phones.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/2phones.opus,,
5inches,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/5inches.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/5inches.opus,,
12cargarage,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/12cargarage.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/12cargarage.opus,15cars,rap
12oclock,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/12oclock.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/12oclock.opus,,
444,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/444.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/444.opus,"wendys, pineapplesoda",
2001,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/2001.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/2001.opus,TrapOdyssey,
2016,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/2016.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/2016.opus,,
9000,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/9000.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/9000.opus,"PowerLevel, ItsOver9000",
aah,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/aah.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/aah.opus,"bigenough, ahh",
aah2,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/aah2.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/aah2.opus,scream,spongebob
ainthavinthat,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/ainthavinthat.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/ainthavinthat.opus,jontron,
aintnothingtoit,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/aintnothingtoit.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/aintnothingtoit.opus,,
AirhornFrenzy,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/AirhornFrenzy.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/AirhornFrenzy.opus,,
aleppo,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/aleppo.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/aleppo.opus,,politician
alex,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/alex.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/alex.opus,,alexjones
algebra,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/algebra.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/algebra.opus,,
algorithms,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/algorithms.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/algorithms.opus,,prozd
alive,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/alive.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/alive.opus,whatatimetobealive,
alwayssunny,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/alwayssunny.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/alwayssunny.opus,"alwayssunnyinphiladelphia, alwayssunnyinphilly, alwayssunnytheme, iasip",
america,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/america.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/america.opus,,
andDie,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/andDie.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/andDie.opus,,airbender
angel,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/angel.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/angel.opus,,starwars
anime,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/anime.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/anime.opus,,
anotherday,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/anotherday.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/anotherday.opus,anotherbeer,
anotherone,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/anotherone.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/anotherone.opus,"another1, a1",
anotherplay,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/anotherplay.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/anotherplay.opus,anotherday2,
answers,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/answers.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/answers.opus,sway,kanye
antisemetic,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/antisemetic.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/antisemetic.opus,,problematic
arbiter,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/arbiter.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/arbiter.opus,picklerickhalo,
areYouSureAboutThat,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/areYouSureAboutThat.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/areYouSureAboutThat.opus,"areYouSure, uSure",
art,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/art.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/art.opus,hentai,anime
ass,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/ass.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/ass.opus,,
avatar,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/avatar.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/avatar.opus,,airbender
baby,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/baby.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/baby.opus,babydick,problematic
baconpancakes,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/baconpancakes.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/baconpancakes.opus,,
badbitch,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/badbitch.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/badbitch.opus,,
badfeeling,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/badfeeling.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/badfeeling.opus,ivegota,
baker,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/baker.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/baker.opus,"bakerst, bakerstreet",
banana,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/banana.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/banana.opus,,
banana2,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/banana2.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/banana2.opus,"sevenyearsold, 7yearsold",
bananabread,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bananabread.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bananabread.opus,,
bankruptcy,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bankruptcy.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bankruptcy.opus,"bankrupt, declare, IDeclareBankruptcy",
barnacle,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/barnacle.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/barnacle.opus,,spongebob
barrysillymen,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/barrysillymen.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/barrysillymen.opus,,arrested
basta,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/basta.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/basta.opus,,
battlecry,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/battlecry.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/battlecry.opus,,
beach,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beach.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beach.opus,,spongebob
beatdown,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beatdown.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beatdown.opus,,
beatmymeat,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beatmymeat.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beatmymeat.opus,,
because,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/because.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/because.opus,,
bed,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bed.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bed.opus,twobedstuesday,daysoftheweek
bees,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bees.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bees.opus,,arrested
behumble,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/behumble.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/behumble.opus,,rap
believeit,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/believeit.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/believeit.opus,,
