name,tags,audio_url,page_url,file_path
earrape moan,iu,https://www.voicy.network/Content/Clips/Sound/f5122608-6f68-4bf0-8616-3d4758678dd9.mp3,https://www.voicy.network/clips/kxwR3m671UCQAnZU7jXgWA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/f5122608-6f68-4bf0-8616-3d4758678dd9.mp3
Cooche Man Meme (Among Us),"among,Fun",https://www.voicy.network/Content/Clips/Sound/4791bd4e-db0f-4a73-a183-e8b665b908a2.mp3,https://www.voicy.network/clips/zUscV3BTw0eBDnA-GvGWdA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/4791bd4e-db0f-4a73-a183-e8b665b908a2.mp3
DADDY CHILL,Daddy,https://www.voicy.network/Content/Clips/Sound/dda1edd8-bbce-49ee-9f82-493a3334081e.mp3,https://www.voicy.network/clips/QPyYMECEnkeKYEkxpCThYQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/dda1edd8-bbce-49ee-9f82-493a3334081e.mp3
Dancing polish cow meme song,"Dancing,polish,Cow,Meme,Song",https://www.voicy.network/Content/Clips/Sound/2daf4440-a9e2-48b6-a108-2201ba5c73e7.mp3,https://www.voicy.network/clips/s2Ec83WuIkODdduEidIihQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/2daf4440-a9e2-48b6-a108-2201ba5c73e7.mp3
Suuuuu,"CristianoRonaldo,Ballond'or",https://www.voicy.network/Content/Clips/Sound/dd16b98f-4c29-47d6-b0c4-556141b2a3af-Suuuuu.mp3,https://www.voicy.network/clips/NVurFqhoEeihTtSuUqiQGg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/dd16b98f-4c29-47d6-b0c4-556141b2a3af-Suuuuu.mp3
Two Hours Later,"SoundEffect,SoundFX,Spongebob,SquarePants,TV,Show,Memes",https://www.voicy.network/Content/Clips/Sound/7a64a4ee-459b-4927-aeba-55ec5a694796.mp3,https://www.voicy.network/clips/czK2FWA0XEmevEk4Tfezvw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/7a64a4ee-459b-4927-aeba-55ec5a694796.mp3
Why you always lying?,"Why,You,Always,Lying,Stop,Lying,Reaction,Funny,Random,English,Classic,lyer,Memes",https://www.voicy.network/Content/Clips/Sound/2cac1530-fa46-458f-af1f-d6e7b61ab10e.mp3,https://www.voicy.network/clips/Wxt2c16vpEGUpoOLKzwppg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/2cac1530-fa46-458f-af1f-d6e7b61ab10e.mp3
Bruh,"Meme,Bruh",https://www.voicy.network/Content/Clips/Sound/92711110-6566-405f-9ca1-cba66047062f.m4a,https://www.voicy.network/clips/sAEVKyqCx0G4iRqB4T4asg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/92711110-6566-405f-9ca1-cba66047062f.m4a
proof that goofy is gay,dnk,https://www.voicy.network/Content/Clips/Sound/22c0953c-eaf2-490e-9cb0-46e799282d36.mp3,https://www.voicy.network/clips/Em6zuSHnQkudhWaZhcqpyA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/22c0953c-eaf2-490e-9cb0-46e799282d36.mp3
Look at top of his head original video,LoL,https://www.voicy.network/Content/Clips/Sound/79886655-b235-4410-894c-8a008a33ac93.mp3,https://www.voicy.network/clips/bXW3aRX9kEWe0G-Z17HHNQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/79886655-b235-4410-894c-8a008a33ac93.mp3
Hey Cheyenne ( hey bitch😂),LoL,https://www.voicy.network/Content/Clips/Sound/efd1551e-baca-45b0-8b04-7e5f746c39d5.mp3,https://www.voicy.network/clips/cme4NeJ7gE6JTsH0A3XH2A,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/efd1551e-baca-45b0-8b04-7e5f746c39d5.mp3
Onii-Chan Padoru,"MP3,Original,download,Oniichan,Cute,Anime,Family,Brother,Hentai,Sayings",https://www.voicy.network/Content/Clips/Sound/f2e121c7-59cc-4810-b30a-b19abca51fcc.mp3,https://www.voicy.network/clips/_sK3DSdhNkCEccgyZLqUTg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/f2e121c7-59cc-4810-b30a-b19abca51fcc.mp3
Got any drugs?,"Meme,Funny,Drugs,GOT,any,Yeet,Cringe,Troll,gotany,gotanydrugs",https://www.voicy.network/Content/Clips/Sound/b3aff112-9b59-4bfc-8029-aa72cdedcefb.wav,https://www.voicy.network/clips/gDeITrvclEatS9vwN9do5A,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/b3aff112-9b59-4bfc-8029-aa72cdedcefb.wav
Vine Boom Sound Effect,"Meme,LoL,Vine,Funny,instagram,thud,Sound,Effect,SFX,SoundFX",https://www.voicy.network/Content/Clips/Sound/f3259302-c10e-4f76-8c97-220549a55f70.mp3,https://www.voicy.network/clips/rStIpFbD-U6cfXK016hu1Q,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/f3259302-c10e-4f76-8c97-220549a55f70.mp3
"""You Are Gay""","Funny,Meme,Gay,Dank,YouAreGay",https://www.voicy.network/Content/Clips/Sound/186c1fc1-7891-467f-abc1-0768036e75d3.mp3,https://www.voicy.network/clips/V4Ulou1PGkS11XyRZJkUjA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/186c1fc1-7891-467f-abc1-0768036e75d3.mp3
Oh hello. Gimme dem toes!,"Meme,Funny,Random,Awesome,SAUCE,Yeet,swag,Yes,Bruh,awesomesauce,gimmedemtoes,gimmethemtoes",https://www.voicy.network/Content/Clips/Sound/98b2220a-8b0b-4539-af31-e1f000742989.wav,https://www.voicy.network/clips/yvH6yBSrg0i8PJkuFU8V3w,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/98b2220a-8b0b-4539-af31-e1f000742989.wav
Yes,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/9008a2d1-826d-4c9c-ab67-de11e32fe3a5.mp3,https://www.voicy.network/clips/fsyhfIfknky-W4VgNz47Bg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/9008a2d1-826d-4c9c-ab67-de11e32fe3a5.mp3
Y do u think im fake?,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/23a4825d-124b-465e-9580-5d38d5e4f406.mp3,https://www.voicy.network/clips/g0IYQs01HESUOPUhoCA78w,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/23a4825d-124b-465e-9580-5d38d5e4f406.mp3
fIsH,Meme,https://www.voicy.network/Content/Clips/Sound/969ea7a3-9205-494a-a8d7-98d1208f0b79.mp3,https://www.voicy.network/clips/LgvXqB3RTU_ZugUvI7a0fg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/969ea7a3-9205-494a-a8d7-98d1208f0b79.mp3
Crystal Dolphin,Meme,https://www.voicy.network/Content/Clips/Sound/2d6d782e-bbb6-41d4-a2da-e59bc1c18f87.mp3,https://www.voicy.network/clips/-QcMvN38tkONExZ_Exf3EA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/2d6d782e-bbb6-41d4-a2da-e59bc1c18f87.mp3
Nani?? (Original),nani,https://www.voicy.network/Content/Clips/Sound/7790bf87-ab06-4eed-a0b9-c296628b1b9c.mp3,https://www.voicy.network/clips/WLXeTAq9FE_5YodTZ5BlCg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/7790bf87-ab06-4eed-a0b9-c296628b1b9c.mp3
Oh yes daddy,yessdaddy,https://www.voicy.network/Content/Clips/Sound/be47cdc7-c40c-4f01-9b29-80751cf4207b.mp3,https://www.voicy.network/clips/CRhlhICmUk_4aWTbVKwejA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/be47cdc7-c40c-4f01-9b29-80751cf4207b.mp3
"Sorry, Is Your Life Difficult?","Meme,Funny,Sorry,Life,Yeet,REE,Dank,Derp,derpy,Bruh,boi,Random,difficult,sorryisyourlifedifficult,isyourlifedifficult,skree,dab",https://www.voicy.network/Content/Clips/Sound/731deba3-ee85-4462-a332-953fcddf0a7e.wav,https://www.voicy.network/clips/gCk3QLbNpUSgJIUb3901pw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/731deba3-ee85-4462-a332-953fcddf0a7e.wav
